[2025-08-10T23:49:23.930449] Balance: $1000.00 | Open trades: 0 | Unrealized PnL: $0.00
[2025-08-10T23:49:53.996475] Balance: $1000.00 | Open trades: 0 | Unrealized PnL: $0.00
[2025-08-10T23:50:24.045408] Balance: $1000.00 | Open trades: 0 | Unrealized PnL: $0.00
[2025-08-10T23:50:54.098400] Balance: $1000.00 | Open trades: 0 | Unrealized PnL: $0.00
[2025-08-10T23:51:24.132279] Balance: $1000.00 | Open trades: 0 | Unrealized PnL: $0.00
[2025-08-10T23:52:12.222236] Balance: $1000.00 | Open trades: 0 | Unrealized PnL: $0.00
[2025-08-10T23:52:42.258806] Balance: $1000.00 | Open trades: 0 | Unrealized PnL: $0.00
[2025-08-10T23:53:12.308141] Balance: $1000.00 | Open trades: 0 | Unrealized PnL: $0.00
[2025-08-10T23:53:42.362381] Balance: $1000.00 | Open trades: 0 | Unrealized PnL: $0.00
[2025-08-10T23:54:12.408307] Balance: $1000.00 | Open trades: 0 | Unrealized PnL: $0.00
[2025-08-10T23:54:42.454763] Balance: $1000.00 | Open trades: 0 | Unrealized PnL: $0.00
